Type de sainteté,Titulaire du dossier,Nom,Statut religieux,Statut,Sexe,Id
martyr,oui,Dionysius,séculier,ecclésiastique,homme,Dionysius (858)
conf.,oui,Disciola,régulier,ecclésiastique,femme,Disciola (859)
conf.,oui,Disibodus,séculier,ecclésiastique,homme,Disibodus (860)
martyr,oui,Dismas,séculier,laïc,homme,Dismas (861)
conf.,non,Doda,régulier,ecclésiastique,femme,Doda (862)
conf.,oui,Dodo,régulier,ecclésiastique,homme,Dodo (863)
conf.,oui,Dodo,régulier,ecclésiastique,homme,Dodo (864)
conf.,oui,Dominicus,régulier,ecclésiastique,homme,Dominicus (865)
conf.,oui,Dominicus,séculier,laïc,homme,Dominicus (866)
conf.,oui,Dominicus,régulier,ecclésiastique,homme,Dominicus (867)
conf.,oui,Dominicus,régulier,ecclésiastique,homme,Dominicus (868)
martyr,oui,Dominicus,séculier,ecclésiastique,homme,Dominicus (869)
conf.,oui,Dominicus,régulier,ecclésiastique,homme,Dominicus (870)
martyr,oui,Dominicus,séculier,laïc,homme,Dominicus (871)
conf.,oui,Domitianus,séculier,laïc,homme,Domitianus (872)
conf.,oui,Domitianus,régulier,ecclésiastique,homme,Domitianus (873)
conf.,oui,Domitianus,séculier,ecclésiastique,homme,Domitianus (874)
martyr,oui,Domitilla,séculier,laïc,femme,Domitilla (875)
conf.,oui,Domitius,régulier,ecclésiastique,homme,Domitius (876)
martyr,oui,Domitius,régulier,ecclésiastique,homme,Domitius (877)
martyr,oui,Domneo,séculier,laïc,homme,Domneo (878)
martyr,non,Domnina,séculier,laïc,femme,Domnina (879)
martyr,oui,Domninus,séculier,laïc,homme,Domninus (880)
martyr,oui,Domninus,séculier,ecclésiastique,homme,Domninus (881)
martyr,non,Domnio,séculier,laïc,homme,Domnio (882)
martyr,oui,Domnio,séculier,ecclésiastique,homme,Domnio (883)
conf.,oui,Domnolus,séculier,ecclésiastique,homme,Domnolus (884)
martyr,oui,Donatianus,séculier,laïc,homme,Donatianus (885)
conf.,oui,Donatianus,séculier,ecclésiastique,homme,Donatianus (886)
martyr,non,Donatilla,séculier,laïc,femme,Donatilla (887)
martyr,oui,Donatus,séculier,ecclésiastique,homme,Donatus (888)
martyr,oui,Donatus,séculier,laïc,homme,Donatus (889)
martyr,oui,Donatus,séculier,laïc,homme,Donatus (890)
conf.,oui,Donatus,séculier,ecclésiastique,homme,Donatus (891)
conf.,oui,Donatus,séculier,ecclésiastique,homme,Donatus (892)
conf.,oui,Donatus,séculier,ecclésiastique,homme,Donatus (893)
martyr,oui,Donatus,séculier,laïc,homme,Donatus (894)
conf.,oui,Donatus,régulier,ecclésiastique,homme,Donatus (895)
martyr,oui,Donatus,régulier,ecclésiastique,homme,Donatus (896)
martyr,oui,Dormientes (septem),séculier,laïc,homme,Dormientes (septem) (897)
conf.,oui,Dormientes (septem),régulier,ecclésiastique,homme,Dormientes (septem) (898)
martyr,non,Dorothea,séculier,laïc,femme,Dorothea (899)
martyr,oui,Dorothea,séculier,laïc,femme,Dorothea (900)
martyr,oui,Dorothea,séculier,laïc,femme,Dorothea (901)
conf.,oui,Dorothea,régulier,laïc,femme,Dorothea (902)
conf.,oui,Dorotheus,régulier,ecclésiastique,homme,Dorotheus (903)
martyr,non,Dorotheus,séculier,laïc,homme,Dorotheus (904)
conf.,oui,Dositheus,régulier,ecclésiastique,homme,Dositheus (905)
conf.,oui,Drausius,séculier,ecclésiastique,homme,Drausius (906)
conf.,oui,Droctoveus,régulier,ecclésiastique,homme,Droctoveus (907)
conf.,oui,Drogo,régulier,ecclésiastique,homme,Drogo (908)
conf.,oui,Drostanus,régulier,ecclésiastique,homme,Drostanus (909)
conf.,oui,Dubricius,séculier,ecclésiastique,homme,Dubricius (910)
conf.,oui,Dunstanus,séculier,ecclésiastique,homme,Dunstanus (911)
conf.,oui,Duthacus,séculier,ecclésiastique,homme,Duthacus (912)
martyr,oui,Dympna,séculier,laïc,femme,Dympna (913)
conf.,non,Eata,séculier,ecclésiastique,homme,Eata (914)
martyr,oui,Eata,séculier,ecclésiastique,homme,Eata (915)
conf.,oui,Ebba,régulier,ecclésiastique,femme,Ebba (916)
conf.,oui,Ebbo,séculier,ecclésiastique,homme,Ebbo (917)
conf.,oui,Eberhardus,régulier,ecclésiastique,homme,Eberhardus (918)
conf.,oui,Eberhardus,séculier,ecclésiastique,homme,Eberhardus (919)
conf.,oui,Ebregiselus,séculier,ecclésiastique,homme,Ebregiselus (920)
conf.,oui,Ebremundus,régulier,ecclésiastique,homme,Ebremundus (921)
conf.,oui,Ebrulfus,régulier,ecclésiastique,homme,Ebrulfus (922)
conf.,oui,Ebrulfus,régulier,ecclésiastique,homme,Ebrulfus (923)
conf.,oui,Ecclesius,séculier,ecclésiastique,homme,Ecclesius (924)
conf.,oui,Echeria,régulier,ecclésiastique,femme,Echeria (925)
conf.,oui,Eckenbertus,séculier,ecclésiastique,homme,Eckenbertus (926)
conf.,oui,Edburga,régulier,ecclésiastique,femme,Edburga (927)
conf.,oui,Edburga,régulier,ecclésiastique,femme,Edburga (928)
conf.,oui,Edgarus,séculier,laïc,homme,Edgarus (929)
conf.,oui,Editha,régulier,ecclésiastique,femme,Editha (930)
martyr,oui,Edmundus,séculier,laïc,homme,Edmundus (931)
conf.,oui,Edmundus,séculier,laïc,homme,Edmundus (932)
conf.,oui,Edmundus,séculier,ecclésiastique,homme,Edmundus (933)
martyr,oui,Eduardus,séculier,laïc,homme,Eduardus (934)
conf.,oui,Eduardus,séculier,ecclésiastique,homme,Eduardus (935)
conf.,oui,Edwinus,séculier,laïc,homme,Edwinus (936)
conf.,oui,Edwoldus,régulier,ecclésiastique,homme,Edwoldus (937)
conf.,oui,Egbertus,régulier,ecclésiastique,homme,Egbertus (938)
conf.,oui,Egburgis,séculier,laïc,femme,Egburgis (939)
conf.,oui,Egwinus,séculier,ecclésiastique,homme,Egwinus (940)
conf.,oui,Eigil,régulier,ecclésiastique,homme,Eigil (941)
conf.,oui,Eladius,séculier,ecclésiastique,homme,Eladius (942)
conf.,oui,Elaphius,séculier,ecclésiastique,homme,Elaphius (943)
conf.,oui,Eldradus,régulier,ecclésiastique,homme,Eldradus (944)
conf.,oui,Eleucadius,séculier,ecclésiastique,homme,Eleucadius (945)
martyr,non,Eleusippus,séculier,laïc,homme,Eleusippus (946)
martyr,non,Eleutherius,séculier,ecclésiastique,homme,Eleutherius (947)
conf.,oui,Eleutherius,séculier,ecclésiastique,homme,Eleutherius (948)
conf.,oui,Eleutherius,séculier,ecclésiastique,homme,Eleutherius (949)
martyr,oui,Eleutherius,séculier,laïc,homme,Eleutherius (950)
martyr,oui,Eleutherius,séculier,ecclésiastique,homme,Eleutherius (951)
conf.,oui,Eleutherius,régulier,ecclésiastique,homme,Eleutherius (952)
conf.,oui,Eleutherius,séculier,ecclésiastique,homme,Eleutherius (953)
conf.,oui,Elfleda,régulier,ecclésiastique,femme,Elfleda (954)
conf.,oui,Elgarus,régulier,laïc,homme,Elgarus (955)
conf.,oui,Elias,régulier,ecclésiastique,homme,Elias (956)
conf.,oui,Eligius,séculier,ecclésiastique,homme,Eligius (957)
martyr,oui,Eliphius,séculier,laïc,homme,Eliphius (958)
conf.,oui,Elisabeth,régulier,laïc,femme,Elisabeth (959)
conf.,oui,Elisabeth,régulier,ecclésiastique,femme,Elisabeth (960)
conf.,oui,Elisabeth,séculier,laïc,femme,Elisabeth (961)
conf.,oui,Eloquius,régulier,ecclésiastique,homme,Eloquius (962)
martyr,oui,Elphegus,séculier,ecclésiastique,homme,Elphegus (963)
conf.,oui,Elzearius,séculier,laïc,homme,Elzearius (964)
martyr,oui,Emanus,séculier,ecclésiastique,homme,Emanus (965)
conf.,oui,Embrosius,séculier,ecclésiastique,homme,Embrosius (966)
martyr,oui,Emerentiana,séculier,laïc,femme,Emerentiana (967)
conf.,oui,Emericus,séculier,laïc,homme,Emericus (968)
conf.,oui,Emeritenses,séculier,ecclésiastique,homme,Emeritenses (969)
conf.,oui,Emerius,régulier,ecclésiastique,homme,Emerius (970)
martyr,oui,Emetherius,séculier,laïc,homme,Emetherius (971)
martyr,oui,Emigdius,séculier,ecclésiastique,homme,Emigdius (972)
martyr,oui,Emila,séculier,laïc,homme,Emila (973)
martyr,oui,Emmerammus,séculier,ecclésiastique,homme,Emmerammus (974)
conf.,oui,Endeus,régulier,ecclésiastique,homme,Endeus (975)
conf.,oui,Eneco,régulier,ecclésiastique,homme,Eneco (976)
martyr,oui,Engelbertus,séculier,ecclésiastique,homme,Engelbertus (977)
martyr,oui,Engelmarus,régulier,ecclésiastique,homme,Engelmarus (978)
conf.,oui,Engelmundus,séculier,ecclésiastique,homme,Engelmundus (979)
conf.,oui,Enimia,régulier,ecclésiastique,femme,Enimia (980)
conf.,oui,Ennodius,séculier,ecclésiastique,homme,Ennodius (981)
conf.,oui,Enswida,régulier,ecclésiastique,femme,Enswida (982)
martyr,oui,Eovaldus,séculier,laïc,homme,Eovaldus (983)
conf.,oui,Eparchius,régulier,ecclésiastique,homme,Eparchius (984)
conf.,oui,Ephraem,séculier,laïc,homme,Ephraem (985)
martyr,oui,Ephysius,séculier,laïc,homme,Ephysius (986)
martyr,oui,Epictetus,séculier,ecclésiastique,homme,Epictetus (987)
martyr,non,Epimachus,séculier,laïc,homme,Epimachus (988)
conf.,oui,Epiphanius,séculier,ecclésiastique,homme,Epiphanius (989)
conf.,oui,Epiphanius,séculier,ecclésiastique,homme,Epiphanius (990)
martyr,oui,Epipodius,séculier,laïc,homme,Epipodius (991)
conf.,oui,Eptadius,séculier,ecclésiastique,homme,Eptadius (992)
conf.,oui,Equitius,régulier,ecclésiastique,homme,Equitius (993)
martyr,non,Erasma,séculier,laïc,femme,Erasma (994)
martyr,oui,Erasmus,séculier,ecclésiastique,homme,Erasmus (995)
conf.,oui,Ercongota,séculier,laïc,femme,Ercongota (996)
conf.,oui,Erembertus,séculier,ecclésiastique,homme,Erembertus (997)
conf.,oui,Erendrudis,régulier,ecclésiastique,femme,Erendrudis (998)
conf.,oui,Erhardus,séculier,ecclésiastique,homme,Erhardus (999)
martyr,oui,Ericus,séculier,laïc,homme,Ericus (1000)
martyr,oui,Ericus,séculier,laïc,homme,Ericus (1001)
conf.,oui,Erkembodo,régulier,ecclésiastique,homme,Erkembodo (1002)
conf.,oui,Erkenwaldus,séculier,ecclésiastique,homme,Erkenwaldus (1003)
conf.,oui,Erluinus,régulier,ecclésiastique,homme,Erluinus (1004)
conf.,oui,Ermelindis,séculier,laïc,femme,Ermelindis (1005)
conf.,oui,Ermenfredus,régulier,ecclésiastique,homme,Ermenfredus (1006)
conf.,oui,Ermengaudus,séculier,ecclésiastique,homme,Ermengaudus (1007)
conf.,oui,Ermenilda,régulier,laïc,femme,Ermenilda (1008)
conf.,oui,Ermina,séculier,laïc,femme,Ermina (1009)
conf.,oui,Erminoldus,régulier,ecclésiastique,homme,Erminoldus (1010)
conf.,oui,Erminus,régulier,ecclésiastique,homme,Erminus (1011)
martyr,oui,Ernestus,régulier,ecclésiastique,homme,Ernestus (1012)
conf.,oui,Erneus,régulier,ecclésiastique,homme,Erneus (1013)
martyr,oui,Eskillus,séculier,ecclésiastique,homme,Eskillus (1014)
conf.,oui,Ethbinus,régulier,ecclésiastique,homme,Ethbinus (1015)
martyr,non,Ethelbertus,séculier,laïc,homme,Ethelbertus (1016)
conf.,oui,Ethelbertus,séculier,laïc,homme,Ethelbertus (1017)
martyr,oui,Ethelbertus,séculier,laïc,homme,Ethelbertus (1018)
conf.,oui,Ethelburga,régulier,ecclésiastique,femme,Ethelburga (1019)
conf.,oui,Etheldreda,régulier,laïc,femme,Etheldreda (1020)
martyr,oui,Ethelredus,séculier,laïc,homme,Ethelredus (1021)
conf.,oui,Ethelredus,régulier,ecclésiastique,homme,Ethelredus (1022)
conf.,oui,Ethelwoldus,séculier,ecclésiastique,homme,Ethelwoldus (1023)
conf.,oui,Ethernanus,séculier,ecclésiastique,homme,Ethernanus (1024)
conf.,oui,Etto,séculier,ecclésiastique,homme,Etto (1025)
martyr,non,Eucarpio,séculier,laïc,homme,Eucarpio (1026)
conf.,oui,Eucharius,séculier,ecclésiastique,homme,Eucharius (1027)
conf.,oui,Eucherius,séculier,ecclésiastique,homme,Eucherius (1028)
conf.,oui,Eucherius,séculier,ecclésiastique,homme,Eucherius (1029)
martyr,oui,Eudaldus,séculier,ecclésiastique,homme,Eudaldus (1030)
conf.,oui,Euflamus,régulier,ecclésiastique,homme,Euflamus (1031)
conf.,oui,Eugendus,régulier,ecclésiastique,homme,Eugendus (1032)
martyr,oui,Eugenia,séculier,laïc,femme,Eugenia (1033)
martyr,non,Eugenius,séculier,laïc,homme,Eugenius (1034)
martyr,non,Eugenius,séculier,ecclésiastique,homme,Eugenius (1035)
conf.,oui,Eugenius,séculier,ecclésiastique,homme,Eugenius (1036)
conf.,oui,Eugenius,séculier,ecclésiastique,homme,Eugenius (1037)
conf.,oui,Eugenius,séculier,ecclésiastique,homme,Eugenius (1038)
conf.,oui,Eugenius,séculier,ecclésiastique,homme,Eugenius (1039)
conf.,oui,Eugenius,séculier,ecclésiastique,homme,Eugenius (1040)
conf.,oui,Eugenius,régulier,ecclésiastique,homme,Eugenius (1041)
martyr,oui,Eugenius,séculier,ecclésiastique,homme,Eugenius (1042)
martyr,oui,Eulalia,séculier,laïc,femme,Eulalia (1043)
martyr,oui,Eulalia,séculier,laïc,femme,Eulalia (1044)
martyr,oui,Eulogius,séculier,ecclésiastique,homme,Eulogius (1045)
martyr,non,Eulogius,séculier,ecclésiastique,homme,Eulogius (1046)
martyr,non,Eumenia,séculier,laïc,femme,Eumenia (1047)
martyr,non,Eumenia,séculier,ecclésiastique,femme,Eumenia (1048)
conf.,oui,Euphebius,séculier,ecclésiastique,homme,Euphebius (1049)
martyr,oui,Euphemia,séculier,laïc,femme,Euphemia (1050)
martyr,oui,Euphemia,séculier,laïc,femme,Euphemia (1051)
martyr,oui,Euphemia,séculier,laïc,femme,Euphemia (1052)
conf.,oui,Euphrasia,séculier,laïc,femme,Euphrasia (1053)
martyr,non,Euphrasius,séculier,ecclésiastique,homme,Euphrasius (1054)
conf.,oui,Euphronius,séculier,ecclésiastique,homme,Euphronius (1055)
conf.,oui,Euphrosyna,régulier,ecclésiastique,femme,Euphrosyna (1056)
conf.,oui,Euphrosynus,séculier,ecclésiastique,homme,Euphrosynus (1057)
martyr,oui,Euplus,séculier,ecclésiastique,homme,Euplus (1058)
martyr,non,Euprepia,séculier,laïc,femme,Euprepia (1059)
martyr,non,Euprepia,séculier,ecclésiastique,femme,Euprepia (1060)
conf.,oui,Eupuria,séculier,laïc,femme,Eupuria (1061)
martyr,oui,Eusanius,séculier,laïc,homme,Eusanius (1062)
conf.,oui,Eusebia,régulier,ecclésiastique,femme,Eusebia (1063)
martyr,non,Eusebius,séculier,laïc,homme,Eusebius (1064)
conf.,oui,Eusebius,séculier,ecclésiastique,homme,Eusebius (1065)
conf.,oui,Eusebius,séculier,laïc,homme,Eusebius (1066)
martyr,oui,Eusebius,séculier,laïc,homme,Eusebius (1067)
martyr,oui,Eusebius,séculier,ecclésiastique,homme,Eusebius (1068)
martyr,oui,Eusebius,séculier,laïc,homme,Eusebius (1069)
conf.,oui,Eusebius,séculier,ecclésiastique,homme,Eusebius (1070)
conf.,oui,Eusicius,régulier,ecclésiastique,homme,Eusicius (1071)
conf.,oui,Euspicius,régulier,ecclésiastique,homme,Euspicius (1072)
martyr,oui,Eustachius,séculier,laïc,homme,Eustachius (1073)
conf.,oui,Eustadiola,régulier,ecclésiastique,femme,Eustadiola (1074)
conf.,oui,Eustasius,régulier,ecclésiastique,homme,Eustasius (1075)
martyr,oui,Eustochia,séculier,laïc,femme,Eustochia (1076)
conf.,oui,Eustochium,régulier,laïc,femme,Eustochium (1077)
conf.,oui,Eustorgius,séculier,ecclésiastique,homme,Eustorgius (1078)
martyr,oui,Eustratius,séculier,laïc,homme,Eustratius (1079)
martyr,oui,Euticius,séculier,ecclésiastique,homme,Euticius (1080)
martyr,non,Eutropia,séculier,laïc,femme,Eutropia (1081)
conf.,oui,Eutropius,séculier,ecclésiastique,homme,Eutropius (1082)
martyr,oui,Eutropius,séculier,ecclésiastique,homme,Eutropius (1083)
martyr,oui,Eutyches,séculier,laïc,homme,Eutyches (1084)
martyr,non,Eutyches,séculier,ecclésiastique,homme,Eutyches (1085)
martyr,non,Eutyches,séculier,laïc,homme,Eutyches (1086)
conf.,oui,Eutychianus,séculier,ecclésiastique,homme,Eutychianus (1087)
conf.,oui,Eutychianus,séculier,laïc,homme,Eutychianus (1088)
conf.,oui,Eutychius,séculier,ecclésiastique,homme,Eutychius (1089)
conf.,oui,Eutychius,régulier,ecclésiastique,homme,Eutychius (1090)
conf.,oui,Evaristus,séculier,ecclésiastique,homme,Evaristus (1091)
martyr,oui,Evasius,séculier,ecclésiastique,homme,Evasius (1092)
martyr,non,Eventius,séculier,ecclésiastique,homme,Eventius (1093)
conf.,oui,Everildis,séculier,laïc,femme,Everildis (1094)
martyr,oui,Evermarus,séculier,laïc,homme,Evermarus (1095)
martyr,non,Evilasius,séculier,laïc,homme,Evilasius (1096)
conf.,oui,Evodius,séculier,ecclésiastique,homme,Evodius (1097)
conf.,oui,Evurtius,séculier,ecclésiastique,homme,Evurtius (1098)
martyr,oui,Ewaldus,séculier,ecclésiastique,homme,Ewaldus (1099)
martyr,non,Exantus,séculier,laïc,homme,Exantus (1100)
martyr,non,Exsuperius,séculier,laïc,homme,Exsuperius (1101)
conf.,oui,Exuperantius,séculier,ecclésiastique,homme,Exuperantius (1102)
conf.,oui,Exuperantius,séculier,ecclésiastique,homme,Exuperantius (1103)
conf.,oui,Exuperius,séculier,ecclésiastique,homme,Exuperius (1104)
conf.,oui,Exuperius,séculier,ecclésiastique,homme,Exuperius (1105)
conf.,oui,Ezo,séculier,laïc,homme,Ezo (1106)
martyr,oui,Fabianus,séculier,ecclésiastique,homme,Fabianus (1107)
conf.,oui,Fabiola,séculier,laïc,femme,Fabiola (1108)
martyr,oui,Fabius,séculier,laïc,homme,Fabius (1109)
conf.,oui,Facundinus,séculier,ecclésiastique,homme,Facundinus (1110)
martyr,oui,Facundus,séculier,laïc,homme,Facundus (1111)
conf.,oui,Famianus,régulier,ecclésiastique,homme,Famianus (1112)
martyr,oui,Fandila,régulier,ecclésiastique,homme,Fandila (1113)
conf.,oui,Fantinus,séculier,ecclésiastique,homme,Fantinus (1114)
conf.,oui,Faro,séculier,ecclésiastique,homme,Faro (1115)
martyr,oui,Fausta,séculier,laïc,femme,Fausta (1116)
martyr,oui,Fausta,séculier,laïc,femme,Fausta (1117)
martyr,oui,Fausta,séculier,laïc,femme,Fausta (1118)
martyr,non,Faustinus,séculier,laïc,homme,Faustinus (1119)
martyr,oui,Faustinus,séculier,ecclésiastique,homme,Faustinus (1120)
martyr,non,Faustus,séculier,laïc,homme,Faustus (1121)
martyr,oui,Faustus,séculier,laïc,homme,Faustus (1122)
martyr,oui,Faustus,séculier,laïc,homme,Faustus (1123)
martyr,oui,Febriona,séculier,laïc,femme,Febriona (1124)
conf.,oui,Fechinus,régulier,ecclésiastique,homme,Fechinus (1125)
martyr,oui,Felicianus,séculier,ecclésiastique,homme,Felicianus (1126)
martyr,non,Felicianus,séculier,laïc,homme,Felicianus (1127)
martyr,non,Felicianus,séculier,laïc,homme,Felicianus (1128)
martyr,non,Felicianus,séculier,laïc,homme,Felicianus (1129)
martyr,non,Felicissima,séculier,laïc,femme,Felicissima (1130)
martyr,oui,Felicissimus,séculier,ecclésiastique,homme,Felicissimus (1131)
martyr,oui,Felicitas,séculier,laïc,femme,Felicitas (1132)
martyr,non,Felicitas,séculier,laïc,femme,Felicitas (1133)
martyr,oui,Felicula,séculier,laïc,femme,Felicula (1134)
martyr,non,Felinus,séculier,laïc,homme,Felinus (1135)
martyr,non,Felix,régulier,ecclésiastique,homme,Felix (1136)
martyr,non,Felix,séculier,laïc,homme,Felix (1137)
martyr,non,Felix,séculier,laïc,homme,Felix (1138)
martyr,non,Felix,séculier,laïc,homme,Felix (1139)
martyr,non,Felix,séculier,laïc,homme,Felix (1140)
martyr,non,Felix,séculier,laïc,homme,Felix (1141)
martyr,non,Felix,séculier,laïc,homme,Felix (1142)
martyr,non,Felix,séculier,laïc,homme,Felix (1143)
conf.,non,Felix,régulier,ecclésiastique,homme,Felix (1144)
conf.,oui,Felix,séculier,ecclésiastique,homme,Felix (1145)
martyr,oui,Felix,séculier,ecclésiastique,homme,Felix (1146)
conf.,oui,Felix,séculier,ecclésiastique,homme,Felix (1147)
conf.,oui,Felix,séculier,ecclésiastique,homme,Felix (1148)
conf.,oui,Felix,séculier,ecclésiastique,homme,Felix (1149)
martyr,oui,Felix,séculier,laïc,homme,Felix (1150)
conf.,oui,Felix,séculier,ecclésiastique,homme,Felix (1151)
conf.,oui,Felix,séculier,ecclésiastique,homme,Felix (1152)
martyr,oui,Felix,séculier,laïc,homme,Felix (1153)
martyr,oui,Felix,séculier,ecclésiastique,homme,Felix (1154)
martyr,oui,Felix,séculier,ecclésiastique,homme,Felix (1155)
conf.,oui,Felix,séculier,ecclésiastique,homme,Felix (1156)
martyr,oui,Felix,séculier,laïc,homme,Felix (1157)
martyr,oui,Felix,séculier,ecclésiastique,homme,Felix (1158)
conf.,oui,Felix,séculier,laïc,homme,Felix (1159)
martyr,oui,Felix,séculier,ecclésiastique,homme,Felix (1160)
martyr,oui,Felix,séculier,ecclésiastique,homme,Felix (1161)
martyr,oui,Felix,séculier,laïc,homme,Felix (1162)
conf.,oui,Felix,séculier,ecclésiastique,homme,Felix (1163)
martyr,oui,Felix,séculier,ecclésiastique,homme,Felix (1164)
martyr,oui,Felix,séculier,ecclésiastique,homme,Felix (1165)
conf.,oui,Ferdinandus,séculier,laïc,homme,Ferdinandus (1166)
conf.,oui,Fergusianus,séculier,ecclésiastique,homme,Fergusianus (1167)
conf.,oui,Ferreolus,séculier,ecclésiastique,homme,Ferreolus (1168)
conf.,oui,Ferreolus,séculier,ecclésiastique,homme,Ferreolus (1169)
martyr,oui,Ferreolus,séculier,ecclésiastique,homme,Ferreolus (1170)
martyr,oui,Ferreolus,séculier,laïc,homme,Ferreolus (1171)
martyr,non,Ferrucio,séculier,ecclésiastique,homme,Ferrucio (1172)
martyr,oui,Ferrucius,séculier,laïc,homme,Ferrucius (1173)
conf.,oui,Ferrus,séculier,ecclésiastique,homme,Ferrus (1174)
martyr,non,Festus,séculier,ecclésiastique,homme,Festus (1175)
conf.,oui,Fiacrius,régulier,ecclésiastique,homme,Fiacrius (1176)
martyr,oui,Fidelis,séculier,laïc,homme,Fidelis (1177)
conf.,oui,Fidentius,séculier,ecclésiastique,homme,Fidentius (1178)
martyr,oui,Fides,séculier,laïc,femme,Fides (1179)
martyr,oui,Fides,séculier,laïc,femme,Fides (1180)
conf.,oui,Fidolus,régulier,ecclésiastique,homme,Fidolus (1181)
conf.,oui,Fillanus,régulier,ecclésiastique,homme,Fillanus (1182)
conf.,oui,Fina,séculier,laïc,femme,Fina (1183)
conf.,oui,Finanus,régulier,ecclésiastique,homme,Finanus (1184)
conf.,oui,Finanus,séculier,ecclésiastique,homme,Finanus (1185)
conf.,oui,Findanus,régulier,ecclésiastique,homme,Findanus (1186)
conf.,oui,Findbarrus,séculier,ecclésiastique,homme,Findbarrus (1187)
martyr,oui,Fingar,régulier,ecclésiastique,homme,Fingar (1188)
conf.,oui,Finnianus,régulier,ecclésiastique,homme,Finnianus (1189)
conf.,oui,Finnianus,séculier,ecclésiastique,homme,Finnianus (1190)
conf.,oui,Finnianus,régulier,ecclésiastique,homme,Finnianus (1191)
conf.,oui,Fintanus,régulier,ecclésiastique,homme,Fintanus (1192)
conf.,oui,Fintanus,régulier,ecclésiastique,homme,Fintanus (1193)
conf.,oui,Fintanus,régulier,ecclésiastique,homme,Fintanus (1194)
conf.,oui,Firmanus,régulier,ecclésiastique,homme,Firmanus (1195)
martyr,oui,Firminus,séculier,ecclésiastique,homme,Firminus (1196)
conf.,oui,Firminus,séculier,ecclésiastique,homme,Firminus (1197)
conf.,oui,Firminus,séculier,ecclésiastique,homme,Firminus (1198)
martyr,oui,Firmus,séculier,laïc,homme,Firmus (1199)
conf.,oui,Flannanus,séculier,ecclésiastique,homme,Flannanus (1200)
martyr,non,Flavianus,séculier,laïc,homme,Flavianus (1201)
martyr,oui,Flavianus,séculier,laïc,homme,Flavianus (1202)
martyr,non,Flavianus,séculier,ecclésiastique,homme,Flavianus (1203)
conf.,oui,Flavitus,régulier,ecclésiastique,homme,Flavitus (1204)
martyr,oui,Flora,séculier,laïc,femme,Flora (1205)
martyr,non,Flora,séculier,laïc,femme,Flora (1206)
conf.,oui,Florbertus,régulier,ecclésiastique,homme,Florbertus (1207)
conf.,oui,Floregius,séculier,ecclésiastique,homme,Floregius (1208)
martyr,non,Florentia,séculier,laïc,femme,Florentia (1209)
martyr,oui,Florentinus,séculier,ecclésiastique,homme,Florentinus (1210)
conf.,non,Florentius,régulier,ecclésiastique,homme,Florentius (1211)
martyr,non,Florentius,séculier,laïc,homme,Florentius (1212)
martyr,non,Florentius,séculier,laïc,homme,Florentius (1213)
conf.,oui,Florentius,séculier,ecclésiastique,homme,Florentius (1214)
conf.,oui,Florentius,séculier,ecclésiastique,homme,Florentius (1215)
conf.,oui,Florentius,séculier,ecclésiastique,homme,Florentius (1216)
martyr,oui,Florentius,séculier,laïc,homme,Florentius (1217)
conf.,oui,Florentius,séculier,ecclésiastique,homme,Florentius (1218)
martyr,oui,Florianus,séculier,laïc,homme,Florianus (1219)
martyr,oui,Florianus,séculier,laïc,homme,Florianus (1220)
conf.,oui,Floridus,séculier,ecclésiastique,homme,Floridus (1221)
conf.,oui,Florinus,séculier,ecclésiastique,homme,Florinus (1222)
conf.,oui,Florus,séculier,ecclésiastique,homme,Florus (1223)
martyr,oui,Floscellus,séculier,laïc,homme,Floscellus (1224)
martyr,oui,Foillanus,régulier,ecclésiastique,homme,Foillanus (1225)
conf.,oui,Folcuinus,séculier,ecclésiastique,homme,Folcuinus (1226)
conf.,oui,Forannanus,régulier,ecclésiastique,homme,Forannanus (1227)
martyr,oui,Fortunata,séculier,laïc,femme,Fortunata (1228)
martyr,non,Fortunatus,séculier,ecclésiastique,homme,Fortunatus (1229)
martyr,non,Fortunatus,séculier,laïc,homme,Fortunatus (1230)
martyr,non,Fortunatus,séculier,ecclésiastique,homme,Fortunatus (1231)
conf.,oui,Fortunatus,séculier,ecclésiastique,homme,Fortunatus (1232)
martyr,oui,Fortunatus,séculier,laïc,homme,Fortunatus (1233)
conf.,oui,Fortunatus,séculier,ecclésiastique,homme,Fortunatus (1234)
conf.,oui,Fortunatus,séculier,ecclésiastique,homme,Fortunatus (1235)
conf.,oui,Frambaldus,régulier,ecclésiastique,homme,Frambaldus (1236)
conf.,oui,Franca,régulier,ecclésiastique,femme,Franca (1237)
conf.,oui,Francisca,régulier,laïc,femme,Francisca (1238)
conf.,oui,Franciscus,régulier,ecclésiastique,homme,Franciscus (1239)
conf.,oui,Franciscus,régulier,ecclésiastique,homme,Franciscus (1240)
conf.,oui,Franciscus,régulier,laïc,homme,Franciscus (1241)
conf.,oui,Franciscus,régulier,ecclésiastique,homme,Franciscus (1242)
conf.,oui,Francovaeus,régulier,ecclésiastique,homme,Francovaeus (1243)
conf.,oui,Francus,régulier,ecclésiastique,homme,Francus (1244)
conf.,oui,Fredaldus,séculier,ecclésiastique,homme,Fredaldus (1245)
martyr,oui,Fremundus,séculier,laïc,homme,Fremundus (1246)
conf.,oui,Friardus,régulier,ecclésiastique,homme,Friardus (1247)
conf.,non,Fridenbertus,séculier,ecclésiastique,homme,Fridenbertus (1248)
