Code dossier BHL,Rubrique courte,Sexe,Statut,Statut religieux,Rubrique,Relations : Dossiers BHL / Codes BHL,Relations : Dossiers BHL / Saints,type.canondate
Thomas02,Thomas Aquinas,homme,ecclésiastique,régulier,Thomas Aquinas Ord. Praed.,"['BHL 8149t | Epistula facultatis parisiensis de morte S. Thomae an. 1274', 'BHL 8150 | 1. Processus canonizationis. I. (an. 1319)', 'BHL 8151 | 1. Processus canonizationis. II. (an. 1321). a.', 'BHL 8151d | 1. Processus canonizationis. II. (an. 1321). b. Recensio alia (ex authentico cod. in tabulario S. rituum congr. asservato)', 'BHL 8151g | 1. Processus canonizationis. III', 'BHL 8151k | Narratio de canonizatione. A. Auct. fr. Bencio OP (an. 1323)', 'BHL 8151m | Narratio de canonizatione. B. Auct. anonymo (an. 1323)', 'BHL 8152 | Vita auct. Guilielmo de Thoco. Prologus', 'BHL 8153 | Vita auct. Guilielmo de Thoco. Vita', 'BHL 8154 | Vita auct. Guilielmo de Thoco. (epitome)', 'BHL 8155 | Vita et miracula auct. Bernardo Guidonis. Vita', 'BHL 8155a |', 'BHL 8155b |', 'BHL 8156 | Miracula', 'BHL 8156a |', 'BHL 8157 | Epitome auct. eodem', 'BHL 8158 | ""Epilogus brevis de progressu temporis S. Thomae""', 'BHL 8158a | III. Conclusio', 'BHL 8158d | Vita et miracula auct. Petro Calo', 'BHL 8158f | Vita et miracula', 'BHL 8158g |', 'BHL 8159 | Vita', 'BHL 8159d | Vita', 'BHL 8160 | Vita auct. Antonio Pizamano', 'BHL 8160d | Vita auct. Iohanne Garzonis', 'BHL 8160f | Vita', 'BHL 8160h | Vita ex Libro apum', 'BHL 8161 | Translatio Tolosam an. 1368, auct. Raimundo Hugonis Ord. Praed. a.', 'BHL 8162 | Translatio Tolosam an. 1368, auct. Raimundo Hugonis Ord. Praed. b. (mut ?)', 'BHL 8162d | Translatio Tolosam an. 1368, auct. Raimundo Hugonis Ord. Praed. c. Recensio alia', 'BHL 8162d$ | Translatio Tolosam an. 1368, auct. Raimundo Hugonis Ord. Praed. d. Recensio alia', 'BHL 8163 | Miracula auct. eodem. a.', 'BHL 8163b | Miracula auct. eodem. b. Recensio altera', 'BHL 8163d |', 'BHL 8163f | Miraculum auct. fr. Laurentio dicto Hortulo', 'BHL 8164 | Translatio Tolosam an. 1368', 'BHL 8165 | Appendix (Translatio brachii Parisios an. 1369)', 'BHL 8166 | Translatio brachii Parisios an. 1369', 'BHL 8166d |', 'BHL 8167 | Donatio brachii Neapolim deferendi (an. 1372)', 'BHL 8168 | Translatio ossis unius Hydruntum an. 1372 (Epistula Iacobi ep. Hydrunt.)', 'BHL 8168d | Tractatus de laudibus auct. Alano de Rupe Brito', 'BHL Thomas02 |']",['Thomas (3033)'],1323
Thomas03,Thomas de Cantiprato,homme,ecclésiastique,régulier,Thomas de Cantiprato Ord. Praed.,"['BHL 8169 | Vita', 'BHL Thomas03 |']",['Thomas (3034)'],
Thomas04,Thomas ep. Cantuariensis,homme,ecclésiastique,séculier,Thomas ep. Cantuariensis m.,"['BHL 8170 | Vita vel saltem Passio', 'BHL 8171 | Miracula, libris 4', 'BHL 8171b |', 'BHL 8172 | Additamentum (lib. V)', 'BHL 8173 | Additamentum (lib. VI, c. 1-3)', 'BHL 8174 | Additamentum (lib. VI, c. 4-7)', 'BHL 8175 | (Epistula Odonis ab. S. Martini de Bello)', 'BHL 8175b | (Epistulae Hugonis Dunelmensis)', 'BHL 8175d | Miracula post mortem', 'BHL 8176 | Vita auct. Willelmo filio Stephani', 'BHL 8177 | (recensio brevior)', 'BHL 8178 | Opera Iohannis Saresberiensis, ep. Carnotensis. Epistula de passione S. Thomae', 'BHL 8178b | Epistula altera', 'BHL 8179 | Vita et Passio S. Thomae. Prologus Alani ab. Tewkesberiensis', 'BHL 8180 | Vita', 'BHL 8180b |', 'BHL 8180f |', 'BHL 8181 | Supplementum auct. Alano eodem', 'BHL 8182 | Vita auct. Edwardo Grim', 'BHL 8183 | Vita (adscripta Rogerio de Pontiniaco alias ""Anonymus I"")', 'BHL 8184 | Vita et miracula auct. Willelmo mon. Cantuariensi. Vita et Passio, libris 2', 'BHL 8185 | Miracula, libris 6', 'BHL 8186 | Vita et miracula auct. Willelmo mon. Canturiensi. Var. lect. Omissis c. 1-5 libri I, inc. ""Post passionem gloriosi m. Thomae tertio die vidit in somnis""', 'BHL 8187 | Vita (auct. ""Anonymo II seu Lambethiano"")', 'BHL 8188 | Vita (auct. ""Anonymo II seu Lambethiano"")', 'BHL 8189 | Passio', 'BHL 8189d | Miracula', 'BHL 8190 | Opera Herberti de Boseham. Vita S. Thomae, libris 7', 'BHL 8191 | Liber Melorum', 'BHL 8192 | Homilia', 'BHL 8193 | Causa exsilii et martyrii B. Thomae', 'BHL 8193b | Causa martyrii', 'BHL 8194 | ""Quadrilogus"" seu narratio compilata ex Vitis 1I, 3B, 6 et 9I. (Quadrilogus ""II""). Auct. E(lia ?) mon. Eveshamensi', 'BHL 8195 | ""Quadrilogus"" seu narratio compilata ex Vitis 1I, 3B, 6 et 9I. (Quadrilogus ""II""). Auct. E(lia ?) mon. Eveshamensi', 'BHL 8196 | ""Quadrilogus"" seu narratio compilata ex Vitis 1I, 3B, 6 et 9I. (Quadrilogus ""II""). Auct. E(lia ?) mon. Eveshamensi', 'BHL 8197 | ""Quadrilogus"" seu narratio compilata ex Vitis 1I, 3B, 6 et 9I. (Quadrilogus ""II""). Auct. E(lia ?) mon. Eveshamensi', 'BHL 8198 | Prologus alter', 'BHL 8199 | ""Quadrilogus"" seu narratio compilata ex Vitis 1I, 3B, 6 et 9I. A. (Quadrilogus ""II""). b. Altera editio auct. Rogero mon. Croilandiensi', 'BHL 8200 | ""Quadrilogus"" seu narratio compilata ex Vitis 1I, 3B, 6 et 9I. B. (Quadrilogus ""I"")', 'BHL 8200a | Quadrilogus (ineditus)', 'BHL 8200ab | Miraculum', 'BHL 8200ad | Excerpta e miraculis auct. Benedicto', 'BHL 8200af | Epistulae tres Alexandri papae', 'BHL 8200ag | Relatio Stefani Armenici Tharsensis ep.', 'BHL 8200ak | De magnificensia... S. Thomae', 'BHL 8200b | Vita, libris3', 'BHL 8200d | Epitome', 'BHL 8201 | Vita', 'BHL 8202 | Homiliae fragmentum', 'BHL 8203 | Narratio de consecratione S. Thomae', 'BHL 8203d |', 'BHL 8204 | Narratio de nece S. Thomae et de regis paenitentia', 'BHL 8205 | Vita', 'BHL 8206 | Vita adscripta ""magistro Euvrardo"". Des. a.', 'BHL 8206b | Additamentum', 'BHL 8207 | Vita adscripta ""magistro Euvrardo"". Des. b.', 'BHL 8207b | Ex Passione BHL 8207', 'BHL 8207d |', 'BHL 8208 | Vita auct. Thoma mon. Frigidi-Montis, dioec. Belvacensis', 'BHL 8209 | Passio', 'BHL 8210 | Passio', 'BHL 8211 | Passio', 'BHL 8211a |', 'BHL 8212 | Passio', 'BHL 8213 | Passio', 'BHL 8214 | Passio', 'BHL 8214b |', 'BHL 8215 | Vita', 'BHL 8215b |', 'BHL 8216 | Vita', 'BHL 8217 | Vita', 'BHL 8218 | Vita et miracula', 'BHL 8218b |', 'BHL 8218d |', 'BHL 8219 | Carmina de vita et passione. (auct. Maurino mon.)', 'BHL 8220 | Carmina de vita et passione. II. (auct. Willelmo cantore de Cumba ?)', 'BHL 8221 | (auct. Willelmo cantore de Cumba ?)', 'BHL 8222 | (auct. Willelmo cantore de Cumba ?)', 'BHL 8223 | (auct. Willelmo cantore de Cumba ?)', 'BHL 8224 | (auct. Willelmo cantore de Cumba ?)', 'BHL 8225 | (auct. Willelmo cantore de Cumba ?)', 'BHL 8226 | (auct. Willelmo cantore de Cumba ?)', 'BHL 8227 | (auct. Willelmo cantore de Cumba ?)', 'BHL 8227b |', 'BHL 8228 | Translatio an. 1220', 'BHL 8229 | Translatio an. 1220 auct. Henrico Abrincensi, metrice...', 'BHL 8229b |', 'BHL 8229c |', 'BHL 8230 | Translatio an. 1250', 'BHL 8231 | Translatio an. 1250', 'BHL 8231d |', 'BHL 8232 | Miracula in monasterio Domni Martini seu S. Iudoci in Nemore', 'BHL 8233 | Miracula', 'BHL 8233a |', 'BHL 8234 | Miraculum an. 1445', 'BHL 8235 | Summa causae inter regem et Thomam. Concilium Londoniense an. 1163', 'BHL 8236 | Concilium Clarendonense an. 1164', 'BHL 8237 | De exsilio Thomae', 'BHL 8238 | De exsilio Thomae', 'BHL 8239 | Series causae inter Henricum regem et Thomam, auct. Radulfo de Diceto', 'BHL 8240 | Series causae inter Henricum regem et Thomam, auct. Radulfo de Diceto', 'BHL 8241 | Series causae inter Henricum regem et Thomam, auct. Radulfo de Diceto', 'BHL 8242 | Orationes quae finguntur an. 1164 coram Alexandro III papa habitae', 'BHL 8243 | Orationes quae finguntur an. 1164 coram Alexandro III papa habitae', 'BHL 8244 | Colloquium inter cardinales et archiepiscopum prope Gisortium an. 1167', 'BHL 8245 | Colloquium inter archiepiscopum et episcopum Londoniensem an. 1169', 'BHL 8246 | Novae constitutiones regis', 'BHL 8246b |', 'BHL 8247 | Visio sancti de ampulla', 'BHL 8248 | Tractatus de promissione B. Thomae facta Pontiniacensibus', 'BHL 8248d | Visio de morte', 'BHL 8248f |', 'BHL 8248g |', 'BHL 8248m | Vita et passio metrica auct. Simone Aurea Capra', 'BHL Thomas04 |']",['Thomas (3035)'],1173
Thomas05,Thomas m. Doroberniae,homme,ecclésiastique,régulier,Thomas mon. m. Doroberniae,"['BHL 8248z |', 'BHL 8249 | Narratio', 'BHL Thomas05 |']",['Thomas (3036)'],
Thomas06,Thomas ab. Farfensis,homme,ecclésiastique,régulier,Thomas ab. Farfensis,"['BHL 8250 | Vita', 'BHL Thomas06 |']",['Thomas (3037)'],
Thomas07,Thomas Florentinus,homme,ecclésiastique,régulier,Thomas Florentinus Ord. Min.,"['BHL 8251 | Vita auct. Petro Marino Morello', 'BHL Thomas07 |']",['Thomas (3038)'],
Thomas08,Thomas Heliae,homme,ecclésiastique,séculier,Thomas Heliae de Bivilla presb.,"['BHL 8252 | Vita auct. Clemente', 'BHL 8253 | (Miracula)', 'BHL Thomas08 |']",['Thomas (3039)'],
Thomas09,Thomas ep. Herefordensis,homme,ecclésiastique,séculier,Thomas ep. Herefordensis,"['BHL 8253d | Prima inquisitio de excommunicationum articulis quibus recolendae memoriae dominus Thomas de Cantilupo, quondam ep. Herefordensis, dicebatur tempore obitus sui fuisse ligatus', 'BHL 8253f | Excerpta ex hoc processu (Extractum primi processus de articulis excommunicationum factum per commissarios ad eorum et aliorum instructionem)', 'BHL 8253h | Inquisitio de vita, moribus, fama et miraculis Thomae de Cantilupo, quondam episcopi Herefordensis', 'BHL 8253k | Recognitio processus facta an. 1313', 'BHL 8253m | Relatio de vita et miraculis facta cca. an. 1318-1320', 'BHL 8254 | Vitae epitomae', 'BHL 8255 | Vitae epitomae', 'BHL 8255d | Lectiones Herefordenses. I', 'BHL 8255e | Lectiones Herefordenses. II', 'BHL 8255f | Lectiones Herefordenses. III', 'BHL 8255g | Lectiones Herefordenses. IV', 'BHL 8255h | Lectiones Wigornienses', 'BHL Thomas09 |']",['Thomas (3040)'],1320
Thomas10,Thomas comes Lancastriae,homme,laïc,séculier,Thomas comes Lancastriae m.,"['BHL 8256 | Passio', 'BHL Thomas10 |']",['Thomas (3041)'],
Thomas11,Thomas de Tolentino et soc.,homme,ecclésiastique,régulier,Thomas de Tolentino et soc. Ord. Min. mm. in Thana Indiae,"['BHL 8257 | Epistulae Iordani de Severac Ord. Praed. (12 oct. 1321). a.', 'BHL 8257b | Epistulae Iordani de Severac Ord. Praed. (12 oct. 1321). b. Alia recensio ab anonymo OP scripta', 'BHL 8258 | Epistulae Iordani de Severac Ord. Praed. II. (20 ian. 1323)', 'BHL 8259 | Epistula Bartholomaei custodis Thaurisii (29 maii 1321)', 'BHL 8260 | Epistula Francisci de Pisis Ord. Praed. (29 maii 1321)', 'BHL 8260b |', 'BHL 8261 | Passio narrata ab Odorico de Portu Naonis', 'BHL 8262 | Passio narrata ab Odorico de Portu Naonis', 'BHL 8263 | Passio narrata ab Odorico de Portu Naonis', 'BHL 8264 | Passio narrata ab Odorico de Portu Naonis', 'BHL 8265 | Passio narrata ab Odorico de Portu Naonis', 'BHL 8266 | Passio narrata ab Odorico de Portu Naonis', 'BHL 8267 | Passio (ex 1, 2, 3 et aliis)', 'BHL 8268 | Passio', 'BHL Thomas11 |']",['Thomas (3042)'],
Thomasius,Thomasius de Costacciario,homme,ecclésiastique,régulier,Thomasius seu Thomas de Costacciario erem. Ord. Camaldul.,"['BHL 8269 | Miracula ante obitum', 'BHL 8270 | Miracula post obitum', 'BHL 8271 | Miracula post obitum', 'BHL 8272 | Miracula post obitum', 'BHL Thomasius |']",['Thomasius (3043)'],
Thorlacus,Thorlacus ep. Skalholtensis,homme,ecclésiastique,séculier,Thorlacus ep. Skalholtensis,"['BHL 8273 | Vitae fragmentum', 'BHL 8274 | Vitae fragmentum', 'BHL Thorlacus |']",['Thorlacus (3044)'],
Thorphinus,Thorphinus Hamarensis,homme,ecclésiastique,séculier,Thorphinus ep. Hamarensis,"['BHL 8275 | Carmen auct. Walterio de Muda', 'BHL 8276 | Vitae epitome', 'BHL Thorphinus |']",['Thorphinus (3045)'],
Thraseas,Thraseas ep. Eumeniae,homme,ecclésiastique,séculier,"Thraseas ep. Eumeniae, m. Smyrnae",['BHL Thraseas |'],['Thraseas (3799)'],
Thyrsus01,"Thyrsus, Leucius et soc.",homme,laïc,séculier,"Thyrsus, Leucius, Callinicus et soc. mm. in Asia","['BHL 8277 | Passio', 'BHL 8278 | Passio', 'BHL 8279 | Passio', 'BHL 8279a |', 'BHL 8280 | Passio', 'BHL 8281 | Passio', 'BHL Thyrsus01 |']","['Callinicus (591)', 'Leucius (1869)', 'Thyrsus (3047)']",
Thyrsus02,"Thyrsus, Bonifatius et soc.",homme,laïc,séculier,"Thyrsus, Bonifatius et soc. mm. Treverenses","['BHL 8282 | Relatio Treverensium de passione et de inventione an. 1072. I. Relatio', 'BHL 8282b | Appendix : Epistula Udonis ep. Treverensis', 'BHL 8283 | Inscriptio quae dicitur reperta', 'BHL 8283a |', 'BHL 8283c |', 'BHL 8284 | Passio, inventio, miracula', 'BHL 8284c |', 'BHL 8285 | Passio', 'BHL 8285d | Passio', 'BHL Thyrsus02 |']","['Bonifatius (537)', 'Thyrsus (3048)']",
Tiberius,Tiberius et soc. mm. in agro Agathensi,mixte,laïc,séculier,"Tiberius, Modestus et Florentia mm. in agro Agathensi","['BHL 8285m |', 'BHL 8285n |', 'BHL Tiberius |']","['Florentia (1209)', 'Modestus (2221)', 'Tiberius (3050)']",
Tiburtius,Tiburtius et Chromatius mm.,homme,laïc,séculier,"Tiburtius, Chromatius et soc. mm. Romae","['BHL 8286 | Translatio SS. Tiburtii, Marcellini et Petri atque aliorum ad coenobium S. Medardi Suessionense an. 828', 'BHL 8286d | 1bis. Passio (ex Passione S. Sebastiani). a.', 'BHL 8286f | 1bis. Passio. b.', 'BHL 8286g | 1bis. Passio. c.', 'BHL 8286h | 1bis. Passio. d.', 'BHL 8286k | 1ter. Passio (ex BHL 7543)', 'BHL Tiburtius |']","['Chromatius (682)', 'Tiburtius (3052)']",
Tigernacus,Tigernacus ep. in Hibernia,homme,ecclésiastique,séculier,Tigernacus ep. in Hibernia,"['BHL 8287 | Vita', 'BHL Tigernacus |']",['Tigernacus (3053)'],
Tigridius,Tigridius presb. Arvernus,homme,ecclésiastique,séculier,Tigridius presb. Arvernus,"['BHL 8287b |', 'BHL Tigridius |']",['Tigridius (3729)'],
Tigris,Tigris v. Mauriennensis,femme,laïc,séculier,Tigris (al. Thecla) v. Mauriennensis,"['BHL 8288 | Narratio Gregorii Turon', 'BHL 8289 | ""Auctoritas quod ex antiquo Mauriennensis ecclesia Viennensi ecclesiae metropoli subdita fuit""', 'BHL 8290 | Vita', 'BHL Tigris |']",['Tigris (3054)'],
Tillo,Tillo mon. Sollemniacensis,homme,ecclésiastique,régulier,Tillo mon. Sollemniacensis,"['BHL 8291 | Vita', 'BHL 8292 | Vita', 'BHL 8293 | Miracula', 'BHL Tillo |']",['Tillo (3056)'],
Timotheus01,Timotheus disc. Pauli,homme,ecclésiastique,séculier,"Timotheus discipulus Pauli, ep. Ephesinus","['BHL 8294 | Passio auct. Pseudo-Polycrate ep.', 'BHL 8295 | Passio', 'BHL Timotheus01 |']",['Timotheus (3057)'],
Timotheus02,Timotheus et Apollinaris mm.,homme,laïc,séculier,Timotheus et Apollinaris mm. Remis,"['BHL 8296 | Passio', 'BHL 8297 | Passio', 'BHL 8298 | Passio', 'BHL 8299 | Passio', 'BHL 8300 | Passio', 'BHL 8301 | Narratio Flodoardi', 'BHL 8302 | Miraculum', 'BHL Timotheus02 |']","['Apollinaris (298)', 'Timotheus (3058)']",
Timotheus03,Timotheus m. Romae,homme,laïc,séculier,Timotheus m. Romae,"['BHL 8302b |', 'BHL 8302d |', 'BHL 8302f |', 'BHL 8302h | Passio', 'BHL Timotheus03 |']",['Timotheus (3059)'],
Timotheus04,Timotheus et Maura mm.,mixte,laïc,séculier,Timotheus et Maura mm. in Thebaide,"['BHL 8303 | Passio', 'BHL Timotheus04 |']","['Maura (2112)', 'Timotheus (3060)']",
Titianus,Titianus ep. Opiterginus,homme,ecclésiastique,séculier,Titianus ep. Opiterginus,"['BHL 8304 | Vita (lectiones)', 'BHL 8304b | Vita auct. Petro Calo (cf. BHL 9039, 96)', 'BHL 8304c | Translatio Cenetam', 'BHL Titianus |']",['Titianus (3061)'],
Titus,Titus disc. Pauli,homme,laïc,séculier,Titus disc. Pauli apostoli,"['BHL 8304m | Passio', 'BHL Titus |']",['Titus (3062)'],
Torellus,Torellus erem. Puppiensis,homme,ecclésiastique,régulier,Torellus erem. Puppiensis,"['BHL 8305 | Vita', 'BHL 8306 | Epitome auct. Hieronymo Radiolano', 'BHL Torellus |']",['Torellus (3063)'],
Torpes,Torpes m. Pisis,homme,laïc,séculier,Torpes m. Pisis,"['BHL 8307 | Passio', 'BHL 8307b |', 'BHL Torpes |']",['Torpes (3064)'],
Torquatus,Torquatus et soc. episcopi in Hispania,homme,ecclésiastique,séculier,"Torquatus, Ctesiphon, Secundus, Indaletius, Caecilius, Hesychius et Euphrasius episcopi in Hispania","['BHL 8308 | Vita. Des a.', 'BHL 8309 | Vita', 'BHL 8310 | Appendix', 'BHL 8311 | Passio', 'BHL Torquatus |']","['Caecilius (581)', 'Ctesiphon (769)', 'Euphrasius (1054)', 'Hesychius (1504)', 'Indaletius (1603)', 'Secundus (2785)', 'Torquatus (3065)']",
Tranquillinus,Tranquillinus m. Romae,homme,laïc,séculier,Tranquillinus m. Romae,['BHL Tranquillinus |'],['Tranquillinus (3066)'],
Traso,Traso et soc. mm. Romae,homme,laïc,séculier,"Traso, Pontianus et Praetextatus mm. Romae",['BHL Traso |'],"['Pontianus (3731)', 'Praetextatus (3732)', 'Traso (3730)']",
Tremorus,"Tremorus, al. Gildas, m. in Britannia",homme,laïc,séculier,"Tremorus seu Trechmorus, al. Gildas, m. in Britannia Armorica","['BHL 8312 | Vita', 'BHL Tremorus |']",['Tremorus (3068)'],
Tresanus,Tresanus presb. Avennaci,homme,ecclésiastique,séculier,Tresanus presb. Avennaci,"['BHL 8313 | Vita', 'BHL Tresanus |']",['Tresanus (3069)'],
Treverius,Treverius erem.,homme,ecclésiastique,régulier,Treverius erem. in pago Dumbensi,"['BHL 8314 | Vita', 'BHL Treverius |']",['Treverius (3070)'],
Triduana,Triduana v.,femme,laïc,séculier,Triduana v. in Scotia,"['BHL 8315 | Lectiones', 'BHL Triduana |']",['Triduana (3071)'],
Troianus,Troianus ep. Sanctonensis,homme,ecclésiastique,séculier,Troianus ep. Sanctonensis,['BHL Troianus |'],['Troianus (3072)'],
Trophima,Trophima v. m. in Sicilia,femme,laïc,séculier,Trophima seu Trophimena v. m. in Sicilia,"['BHL 8316 | Inventio, translatio, miracula. Praeambulum', 'BHL 8317 | Inventio, translatio, miracula. Inventio et translatio', 'BHL 8318 | Inventio, translatio, miracula. Translatio altera et miracula', 'BHL Trophima |']",['Trophima (3073)'],
Trophimus01,Trophimus ep. Arelatensis,homme,ecclésiastique,séculier,Trophimus ep. Arelatensis,"['BHL 8318b | Sermo (S. Hilarii ep. Arelatensis)', 'BHL 8318d | Sermo (eiusdem ?)', 'BHL 8318f | Vita', 'BHL 8319 | Lectiones', 'BHL 8319b | Lectiones VI (e notitia lectionarii Arelatensis saec. XII)', 'BHL Trophimus01 |']",['Trophimus (3074)'],
Trophimus02,Trophimus et Eucarpio mm.,homme,laïc,séculier,Trophimus et Eucarpio mm. Nicomediae,"['BHL 8320 | Passio', 'BHL Trophimus02 |']","['Eucarpio (1026)', 'Trophimus (3075)']",
Trudo,Trudo ab.,homme,ecclésiastique,régulier,Trudo ab. in Hasbania,"['BHL 8321 | Vita auct. Donato diac. Des. a)', 'BHL 8321a | Vita auct. Donato diac. Des. b)', 'BHL 8321b | Vita auct. Donato diac. Epilogus', 'BHL 8322 | Prologus in Vitam auct. Donato diac. inc. ""Cum constet propagatricem dominicae laudis...""', 'BHL 8323 | Vita auct. Theoderico ab.', 'BHL 8324 | Vita auct. Theoderico ab., libris 2', 'BHL 8325 | Vita auct. Theoderico ab., libris 2 (epitome)', 'BHL 8325d | Liber de miraculis auct. anonymo (quem certe legit Stepelinus mon.)', 'BHL 8326 | Miracula, libris 2. Liber I', 'BHL 8327 | Miracula, libris 2. Liber II auct. Stepelino mon.', 'BHL 8327b | Miraculum auct. Rudolfo ab. S. Trudonis', 'BHL Trudo |']",['Trudo (3076)'],
Trudpertus,Trudpertus erem.,homme,ecclésiastique,régulier,Trudpertus erem. m. in Brisgovia,"['BHL 8328 | Passio (perperam adscripta Erchanboldo ab. S. Trudperti)', 'BHL 8329 | Passio (perperam adscripta Erchanboldo ab. S. Trudperti)', 'BHL 8330 | Passio (perperam adscripta Erchanboldo ab. S. Trudperti)', 'BHL 8331 | Passio (perperam adscripta Erchanboldo ab. S. Trudperti)', 'BHL 8332 | Passio', 'BHL 8333 | Passio, libris 2', 'BHL 8334 | Carmen', 'BHL 8335 | Translatio an. 962', 'BHL 8335b |', 'BHL Trudpertus |']",['Trudpertus (3077)'],
Tryphon,Tryphon et Respicius mm.,homme,laïc,séculier,Tryphon et Respicius mm. Niceae,"['BHL 8336 | Passio', 'BHL 8337 | Passio', 'BHL 8338 | Passio', 'BHL 8338b |', 'BHL 8338d |', 'BHL 8339 | Passio', 'BHL 8340 | Passio auct. Theodorico mon.', 'BHL 8340a |', 'BHL 8340b |', 'BHL 8340d |', 'BHL Tryphon |']","['Respicius (2651)', 'Tryphon (3078)']",
Tryphonia,Tryphonia uxor Decii,femme,laïc,séculier,Tryphonia dicta uxor Decii imp.,['BHL Tryphonia |'],['Tryphonia (3079)'],
Turiavus,Turiavus ep.,homme,ecclésiastique,séculier,"Turiavus seu Turianus ep., ab. Dolensis","['BHL 8341 | Vita', 'BHL 8342 | Vita', 'BHL 8342d |', 'BHL 8343 | Miracula facta Parisiis', 'BHL Turiavus |']",['Turiavus (3080)'],
Turibius01,Turibius ep. Asturicensis,homme,ecclésiastique,séculier,Turibius ep. Asturicensis,"['BHL 8344 | Vita', 'BHL 8344b |', 'BHL Turibius01 |']",['Turibius (3081)'],
Turibius02,Turibius ep. Cenomannensis,homme,ecclésiastique,séculier,Turibius ep. Cenomannensis,"['BHL 8345 | Vita', 'BHL 8346 | Vita', 'BHL 8347 | Vita. Additamentum', 'BHL Turibius02 |']",['Turibius (3082)'],
Tuscana,Tuscana vidua Veronensis,femme,laïc,régulier,Tuscana vidua Veronensis Ord. S. Iohannis Hierosol.,"['BHL 8348 | Vita auct. Celso a Falcibus mon. O. S. B.', 'BHL 8349 | Vita auct. Celso a Falcibus mon. O. S. B.', 'BHL Tuscana |']",['Tuscana (3084)'],
Tutgualus,Tutgualus ab. Trecorensis,homme,ecclésiastique,régulier,"Tutgualus ep., ab. Trecorensis","['BHL 8350 | Vita adscripta Loeuanno', 'BHL 8351 | Vita', 'BHL 8352 | Vita. Carmen', 'BHL 8353 | Vita', 'BHL Tutgualus |']",['Tutgualus (3085)'],
Typasenses,Typasenses mm.,homme,ecclésiastique,séculier,Typasenses martyres,['BHL Typasenses |'],['Typasenses (3755)'],
Typasius,Typasius veteranus m.,homme,laïc,séculier,Typasius veteranus m. Ticavis in Mauritania,"['BHL 8354 | Passio', 'BHL Typasius |']",['Typasius (3086)'],
Tyrannio,"Tyrannio, Silvanus et soc. mm.",homme,ecclésiastique,séculier,"Tyrannio, Silvanus et soc. mm. Tyri",['BHL Tyrannio |'],"['Silvanus (2852)', 'Tyrannio (3087)']",
Ubaldus,Ubaldus ep. Eugubinus,homme,ecclésiastique,séculier,Ubaldus ep. Eugubinus,"['BHL 8354t |', 'BHL 8355 | Vita auct. Theobaldo ep. Eugubino (recensio brevior)', 'BHL 8356 | Vita auct. Theobaldo ep. Eugubino (recensio brevior). Appendix', 'BHL 8357 | Vita auct. Theobaldo ep. Eugubino (recensio longior)', 'BHL 8357b | Epitome auct. Augustino de Novis', 'BHL 8358 | Miracula (narratio antiqua?)', 'BHL 8358d |', 'BHL 8358f |', 'BHL 8358g |', 'BHL 8358h |', 'BHL Ubaldus |']",['Ubaldus (3088)'],1192
Udalricus01,Udalricus ep. Augustanus,homme,ecclésiastique,séculier,Udalricus (Uldaricus) ep. Augustanus,"['BHL 8359 | Vita et miracula auct. Gerhardo presb., perperam adscripta Adilberto priori Augustensi', 'BHL 8360 | Vita et miracula auct. Gerhardo presb.', 'BHL 8361 | Vita auct. Gebehardo ep. Augustano', 'BHL 8362 | Vita auct. Bernone ab. Augiensi', 'BHL 8363 | Epitomae', 'BHL 8364 | Epitomae', 'BHL 8365 | Epitomae', 'BHL 8365b |', 'BHL 8366 | Legenda', 'BHL 8366b |', 'BHL 8366c |', 'BHL 8366d |', 'BHL 8366e |', 'BHL 8366f |', 'BHL 8366g |', 'BHL 8367 | Inventio et translatio an. 1183', 'BHL 8368 | Miracula', 'BHL 8368d |', 'BHL 8368e |', 'BHL 8368f |', 'BHL Udalricus01 |']",['Udalricus (3089)'],0993
Udalricus02,Udalricus prior Cellensis in Silva nigra,homme,ecclésiastique,régulier,Udalricus prior Cellensis in Silva nigra,"['BHL 8369 | Vitae prioris fragmenta', 'BHL 8370 | Vita', 'BHL Udalricus02 |']",['Udalricus (3090)'],
Ulphia,Ulphia v. Ambiani,femme,laïc,régulier,Ulphia v. Ambiani,"['BHL 8371 | Vita', 'BHL Ulphia |']",['Ulphia (3091)'],
Urbanus01,Urbanus I p.,homme,ecclésiastique,séculier,Urbanus I papa,"['BHL 8372 | Passio', 'BHL 8373 | Passio', 'BHL 8374 | Passio', 'BHL 8375 | Passio', 'BHL 8376 | Passio', 'BHL 8377 | Passio. Prologus', 'BHL 8378 | Passio. Carmen', 'BHL 8379 | Passio', 'BHL 8380 | Passio', 'BHL 8380a |', 'BHL 8381 | Passio', 'BHL 8382 | Lectiones', 'BHL 8383 | Passio', 'BHL 8384 | Passio', 'BHL 8385 | Passio', 'BHL 8386 | Passio', 'BHL 8387 | Passio', 'BHL 8388 | Passio auct. Stephano ab. S. Urbani', 'BHL 8389 | Passio', 'BHL 8390 | Epitomae', 'BHL 8390b | Epitome', 'BHL 8391 | Translatio Autisiodorum et miracula', 'BHL 8392 | Miracula facta saec. XII in dioecesi Catalaunensi', 'BHL Urbanus01 |']",['Urbanus (3092)'],
