Code dossier BHL,Rubrique courte,Sexe,Statut,Statut religieux,Rubrique,Relations : Dossiers BHL / Codes BHL,Relations : Dossiers BHL / Saints,type.canondate
Adalbertus02,Adalbertus ep. Pragensis,homme,ecclésiastique,séculier,Adalbertus-Vojtechus ep. Pragensis,"['BHL 0037 | Vita auct. Iohanne Canapario', 'BHL 0037a | (Redactio ""Aventinensis"")', 'BHL 0037b | (Redactio ""Cassinensis"")', 'BHL 0038 | Vita auct. Brunone Querfurtensi', 'BHL 0039 | Recensio brevior', 'BHL 0040 | Passio', 'BHL 0041 | Vita metrica perperam adscripta Cosmae Pragensi', 'BHL 0042 | Vita', 'BHL 0043 | Vita', 'BHL 0044 | Miracula', 'BHL 0045 | Miracula', 'BHL 0046 | Vita', 'BHL 0047 | Vita', 'BHL 0048 | Vita', 'BHL 0049 | Vita', 'BHL 0050 | Vita', 'BHL 0051 | Translatio', 'BHL 0052 | Sermo', 'BHL 0053 | Sermonis fragmentum', 'BHL 0054 | Sermo', 'BHL 0055 | Legenda', 'BHL 0056 | Legenda', 'BHL 0056d | Narratiuncula', 'BHL Adalbertus02 |']",['Adalbertus (35)'],0997
Adalgisus,Adalgisus presb. in Picardia,homme,ecclésiastique,séculier,Adalgisus presb. in Picardia,"['BHL 0057 | Vita', 'BHL Adalgisus |']",['Adalgisus (36)'],
Adalhardus,Adalhardus ab. Corbeiensis,homme,ecclésiastique,régulier,Adalhardus ab. Corbeiensis,"['BHL 0058 | Vita auct. Paschasio Radberto', 'BHL 0059 | Egloga de morte Adalhardi auct. Paschasio Radberto', 'BHL 0060 | Vita perperam adscripta Gerardo ab. Silvae Maioris', 'BHL 0061 | Miraculorum liber I, item falso adscriptus Gerardo', 'BHL 0062 | Miraculorum liber II', 'BHL Adalhardus |']",['Adalhardus (37)'],1024
Adalheida,Adalheida imperatrix,femme,laïc,séculier,Adalheida imperatrix,"['BHL 0063 | Vita', 'BHL 0064 | Vita', 'BHL 0065 | Miracula perperam adscripta eidem', 'BHL 0066 | Vita metrica', 'BHL 0066d | Epitome auct. Iohanne Gielemans', 'BHL 0066e | Epitome inc. ""Anno Domini M floruit ss. Adelheysa quam fuisse imperatricem...""', 'BHL Adalheida |']",['Adalheida (38)'],0999
Adalheidis,Adalheidis abb. Vilicensis,femme,laïc,régulier,Adalheidis seu Aleidis abb. Vilicensis,"['BHL 0067 | Vita auct. Bertha', 'BHL 0067d | Vita auct. Iohanne Gielemans', 'BHL Adalheidis |']",['Adalheidis (39)'],
Adalpretus,Adalpretus ep. Tridentinus,homme,ecclésiastique,séculier,Adalpretus ep. Tridentinus m.,"['BHL 0067m | Vita et miracula', 'BHL 0067n | Vita et miracula auct. Bartholomeo Trident. II.', 'BHL Adalpretus |']",['Adalpretus (3344)'],
Adalricus,Adalricus Hohenburgensis,homme,laïc,séculier,Adalricus Hohenburgensis,['BHL Adalricus |'],['Adalricus (40)'],
Adam,Adam conf. Gulionisii,homme,laïc,séculier,Adam conf. Gulionisii in Italia,"['BHL 0068 | Translatio an. 1102', 'BHL Adam |']",['Adam (41)'],
Adamnanus01,Adamnanus presb. in Coldingham,homme,ecclésiastique,séculier,Adamnanus presb. in Coldingham,['BHL Adamnanus01 |'],['Adamnanus (42)'],
Adamnanus02,Adamnanus ab. Hiensis,homme,ecclésiastique,régulier,Adamnanus ab. Hiensis,"['BHL 0069 | Vita', 'BHL Adamnanus02 |']",['Adamnanus (43)'],
